Pick,Player,Salary,Team
1,DeAndre Hopkins (Ari - WR),75,Hoppin 4 Hopkins
2,Clyde Edwards-Helaire (KC - RB),80,Clyde or Die
3,Tom Brady (TB - QB),11,Clyde or Die
4,Julio Jones (Atl - WR),78,Nags
5,Cam Akers (LAR - RB),33,No Gurley No Cry
6,Josh Jacobs (LV - RB),68,Chi ShingT's Team
7,Tyreek Hill (KC - WR),78,Saquantum Physics
8,Melvin Gordon III (Den - RB),47,McLovin
9,Odell Beckham Jr. (Cle - WR),53,Chi ShingT's Team
10,Tyler Higbee (LAR - TE),22,Pop Drop and Lockett
11,Todd Gurley II (Atl - RB),53,Ron Gruden
12,Rob Gronkowski (TB - TE),18,G
13,Jonathan Taylor (Ind - RB),59,No Gurley No Cry
14,Le'Veon Bell (NYJ - RB),48,Ron Gruden
15,David Johnson (Hou - RB),59,Kamara Sutra
16,Darren Waller (LV - TE),51,Clyde or Die
17,Stefon Diggs (Buf - WR),41,Ron Gruden
18,Mark Ingram II (Bal - RB),52,Saquantum Physics
19,Mike Evans (TB - WR),67,Hoppin 4 Hopkins
20,Carlos Hyde (Sea - RB),4,No Gurley No Cry
21,Jared Cook (NO - TE),17,Hoppin 4 Hopkins
22,Leonard Fournette (TB - RB),33,Chi ShingT's Team
23,T.Y. Hilton (Ind - WR),36,G
24,Phillip Lindsay (Den - RB),21,G
25,Amari Cooper (Dal - WR),56,McLovin
26,Terry McLaurin (Was - WR),44,McLovin
27,Zach Ertz (Phi - TE),45,Tiz the Law
28,Evan Engram (NYG - TE),35,McLovin
29,Keenan Allen (LAC - WR),39,Tiz the Law
30,Sony Michel (NE - RB),7,Kamara Sutra
31,Robert Woods (LAR - WR),57,Kamara Sutra
32,Michael Gallup (Dal - WR),28,McLovin
33,A.J. Green (Cin - WR),22,G
34,J.K. Dobbins (Bal - RB),27,Tiz the Law
35,Joshua Kelley (LAC - RB),10,Tiz the Law
36,Matthew Stafford (Det - QB),6,Ron Gruden
37,D'Andre Swift (Det - RB),39,G
38,Russell Wilson (Sea - QB),33,No Gurley No Cry
39,Deshaun Watson (Hou - QB),44,Nags
40,Tyler Boyd (Cin - WR),30,Ron Gruden
41,Julian Edelman (NE - WR),19,Pop Drop and Lockett
42,Drew Brees (NO - QB),23,McLovin
43,Marquise Brown (Bal - WR),34,Pop Drop and Lockett
44,Jarvis Landry (Cle - WR),32,No Gurley No Cry
45,Matt Ryan (Atl - QB),26,Hoppin 4 Hopkins
46,Philip Rivers (Ind - QB),1,Clyde or Die
47,Greg Zuerlein (Dal - K),4,Pop Drop and Lockett
48,T.J. Hockenson (Det - TE),5,Hoppin 4 Hopkins
49,Hayden Hurst (Atl - TE),20,G
50,Josh Gordon (Sea - WR),3,Ron Gruden
51,San Francisco (SF - DEF),10,Pop Drop and Lockett
52,Kerryon Johnson (Det - RB),12,Pop Drop and Lockett
53,Jordan Howard (Mia - RB),26,Nags
54,Emmanuel Sanders (NO - WR),18,No Gurley No Cry
55,Josh Allen (Buf - QB),18,Pop Drop and Lockett
56,Marvin Jones Jr. (Det - WR),18,Saquantum Physics
57,Will Fuller V (Hou - WR),22,Hoppin 4 Hopkins
58,Matt Breida (Mia - RB),17,Pop Drop and Lockett
59,Joe Burrow (Cin - QB),6,Tiz the Law
60,Diontae Johnson (Pit - WR),17,Pop Drop and Lockett
