,pick,player_name,player_position,player_team,salary,manager,keeper_code
0,1,DeAndre Hopkins,WR,Ari,75,Joel,
1,2,Clyde Edwards-Helaire,RB,KC,80,Jake,
2,3,Tom Brady,QB,TB,11,Jake,
3,4,Julio Jones,WR,Atl,78,Ryan,
4,5,Cam Akers,RB,LAR,33,Matt,
5,6,Josh Jacobs,RB,LV,68,Chi Shing,
6,7,Tyreek Hill,WR,KC,78,Doug,
7,8,Melvin Gordon III,RB,Den,47,Rajiv,
8,9,Odell Beckham Jr.,WR,Cle,53,Chi Shing,
9,10,Tyler Higbee,TE,LAR,22,Evan,
10,11,Todd Gurley II,RB,Atl,53,Ron,
11,12,Rob Gronkowski,TE,TB,18,Jiwei,
12,13,Jonathan Taylor,RB,Ind,59,Matt,
13,14,Le'Veon Bell,RB,NYJ,48,Ron,
14,15,David Johnson,RB,Hou,59,Sean,
15,16,Darren Waller,TE,LV,51,Jake,
16,17,Stefon Diggs,WR,Buf,41,Ron,
17,18,Mark Ingram II,RB,Bal,52,Doug,
18,19,Mike Evans,WR,TB,67,Joel,
19,20,Carlos Hyde,RB,Sea,4,Matt,
20,21,Jared Cook,TE,NO,17,Joel,
21,22,Leonard Fournette,RB,TB,33,Chi Shing,
22,23,T.Y. Hilton,WR,Ind,36,Jiwei,
23,24,Phillip Lindsay,RB,Den,21,Jiwei,
24,25,Amari Cooper,WR,Dal,56,Rajiv,
25,26,Terry McLaurin,WR,Was,44,Rajiv,
26,27,Zach Ertz,TE,Phi,45,Dai,
27,28,Evan Engram,TE,NYG,35,Rajiv,
28,29,Keenan Allen,WR,LAC,39,Dai,
29,30,Sony Michel,RB,NE,7,Sean,
30,31,Robert Woods,WR,LAR,57,Sean,
31,32,Michael Gallup,WR,Dal,28,Rajiv,
32,33,A.J. Green,WR,Cin,22,Jiwei,
33,34,J.K. Dobbins,RB,Bal,27,Dai,
34,35,Joshua Kelley,RB,LAC,10,Dai,
35,36,Matthew Stafford,QB,Det,6,Ron,
36,37,D'Andre Swift,RB,Det,39,Jiwei,
37,38,Russell Wilson,QB,Sea,33,Matt,
38,39,Deshaun Watson,QB,Hou,44,Ryan,
39,40,Tyler Boyd,WR,Cin,30,Ron,
40,41,Julian Edelman,WR,NE,19,Evan,
41,42,Drew Brees,QB,NO,23,Rajiv,
42,43,Marquise Brown,WR,Bal,34,Evan,
43,44,Jarvis Landry,WR,Cle,32,Matt,
44,45,Matt Ryan,QB,Atl,26,Joel,
45,46,Philip Rivers,QB,Ind,1,Jake,
46,47,Greg Zuerlein,K,Dal,4,Evan,
