team_name,player_name,salary,acquisition_type,acquisition_deatils
Big Diggs Energy,Dak Prescott,0,freeagents,Waivers; free agent
Big Diggs Energy,Stefon Diggs,100,drafted,Drafted for $100
Big Diggs Energy,Drake London,32,drafted,Drafted for $32
Big Diggs Energy,Richie James,0,freeagents,Waivers; free agent
Big Diggs Energy,Travis Etienne Jr.,5,drafted,Kept for $5
Big Diggs Energy,Aaron Jones,40,drafted,Kept for $40
Big Diggs Energy,George Kittle,46,trade,Traded; $46 salary carries over
Big Diggs Energy,Cam Akers,0,waivers,Waivers; $0 bid
Big Diggs Energy,DeAndre Hopkins,23,drafted,Drafted for $23
Big Diggs Energy,Chris Olave,16,drafted,Drafted for $16
Big Diggs Energy,Jonathan Taylor,71,drafted,Kept for $71
Big Diggs Energy,Jameson Williams,0,freeagents,Waivers; free agent
Big Diggs Energy,Zamir White,0,waivers,Waivers; $0 bid
Big Diggs Energy,Trenton Irwin,0,freeagents,Waivers; free agent
Big Diggs Energy,Evan McPherson,0,waivers,Waivers; $0 bid
Big Diggs Energy,New England,0,freeagents,Waivers; free agent
Collinoscopy,Geno Smith,15,waivers,Waivers; $15 bid
Collinoscopy,DeVonta Smith,18,drafted,Drafted for $18
Collinoscopy,Jaylen Waddle,38,drafted,Drafted for $38
Collinoscopy,Tee Higgins,59,drafted,Drafted for $59
Collinoscopy,Dalvin Cook,116,trade,Traded; $116 salary carries over
Collinoscopy,Tony Pollard,25,drafted,Drafted for $25
Collinoscopy,Pat Freiermuth,5,drafted,Drafted for $5
Collinoscopy,Isiah Pacheco,1,waivers,Waivers; $1 bid
Collinoscopy,Brandon Aiyuk,33,drafted,Drafted for $33
Collinoscopy,Jamaal Williams,9,trade,Traded; $9 salary carries over
Collinoscopy,Nico Collins,0,waivers,Waivers; $0 bid
Collinoscopy,Leonard Fournette,5,drafted,Kept for $5
Collinoscopy,Rashid Shaheed,0,waivers,Waivers; $0 bid
Collinoscopy,Deshaun Watson,0,freeagents,Waivers; free agent
Collinoscopy,Isaiah Hodgins,0,waivers,Waivers; $0 bid
Collinoscopy,Daniel Carlson,8,waivers,Waivers; $8 bid
Ceedeez Nutz,Joe Burrow,29,trade,Traded; $29 salary carries over
Ceedeez Nutz,CeeDee Lamb,30,drafted,Kept for $30
Ceedeez Nutz,Christian Kirk,13,drafted,Kept for $13
Ceedeez Nutz,Jahan Dotson,2,drafted,Drafted for $2
Ceedeez Nutz,Joe Mixon,83,drafted,Kept for $83
Ceedeez Nutz,Brian Robinson,17,drafted,Drafted for $17
Ceedeez Nutz,Tyler Higbee,0,freeagents,Waivers; free agent
Ceedeez Nutz,Joshua Palmer,0,freeagents,Waivers; free agent
Ceedeez Nutz,Justin Herbert,12,trade,Traded; $12 salary carries over
Ceedeez Nutz,Elijah Moore,0,waivers,Waivers; $0 bid
Ceedeez Nutz,Mack Hollins,1,waivers,Waivers; $1 bid
Ceedeez Nutz,Calvin Ridley,1,waivers,Waivers; $1 bid
Ceedeez Nutz,Kyle Pitts,2,waivers,Waivers; $2 bid
Ceedeez Nutz,Kyren Williams,0,waivers,Waivers; $0 bid
Ceedeez Nutz,Nick Folk,0,freeagents,Waivers; free agent
Ceedeez Nutz,Tampa Bay,0,waivers,Waivers; $0 bid
deSean Watson,Patrick Mahomes,37,drafted,Drafted for $37
deSean Watson,Amon-Ra St. Brown,48,drafted,Drafted for $48
deSean Watson,Ja'Marr Chase,24,drafted,Kept for $24
deSean Watson,Treylon Burks,12,drafted,Drafted for $12
deSean Watson,Austin Ekeler,31,drafted,Kept for $31
deSean Watson,Saquon Barkley,105,drafted,Drafted for $105
deSean Watson,Taysom Hill,0,waivers,Waivers; $0 bid
deSean Watson,Keenan Allen,5,waivers,Waivers; $5 bid
deSean Watson,Rachaad White,11,drafted,Drafted for $11
deSean Watson,Chigoziem Okonkwo,0,freeagents,Waivers; free agent
deSean Watson,D'Onta Foreman,0,freeagents,Waivers; free agent
deSean Watson,Allen Lazard,18,drafted,Drafted for $18
deSean Watson,Courtland Sutton,28,drafted,Kept for $28
deSean Watson,Jakobi Meyers,0,waivers,Waivers; $0 bid
deSean Watson,Brett Maher,0,waivers,Waivers; $0 bid
