team_name,player_name,salary,acquisition_type,acquisition_deatils
Worse than Chi Shing @ Fantasy,C.J. Stroud,0,waivers,Waivers; $0 bid
Worse than Chi Shing @ Fantasy,Rashee Rice,1,drafted,Drafted for $1
Worse than Chi Shing @ Fantasy,Chris Olave,21,drafted,Kept for $21
Worse than Chi Shing @ Fantasy,Tee Higgins,85,drafted,Drafted for $85
Worse than Chi Shing @ Fantasy,Travis Etienne Jr.,12,drafted,Kept for $12
Worse than Chi Shing @ Fantasy,Jahmyr Gibbs,98,drafted,Drafted for $98
Worse than Chi Shing @ Fantasy,Evan Engram,5,drafted,Drafted for $5
Worse than Chi Shing @ Fantasy,James Conner,44,drafted,Drafted for $44
Worse than Chi Shing @ Fantasy,Ty Chandler,0,waivers,Waivers; $0 bid
Worse than Chi Shing @ Fantasy,Drake London,37,drafted,Kept for $37
Worse than Chi Shing @ Fantasy,Jakobi Meyers,5,drafted,Drafted for $5
Worse than Chi Shing @ Fantasy,Jameson Williams,17,drafted,Drafted for $17
Worse than Chi Shing @ Fantasy,Jalin Hyatt,0,waivers,Waivers; $0 bid
Worse than Chi Shing @ Fantasy,John Metchie III,0,freeagents,Waivers; free agent
Worse than Chi Shing @ Fantasy,Jake Elliott,1,drafted,Drafted for $1
Worse than Chi Shing @ Fantasy,San Francisco,0,waivers,Waivers; $0 bid
Warren Wasteland,Brock Purdy,0,waivers,Waivers; $0 bid
Warren Wasteland,DeVonta Smith,23,drafted,Kept for $23
Warren Wasteland,Rashid Shaheed,1,drafted,Drafted for $1
Warren Wasteland,Nico Collins,11,drafted,Drafted for $11
Warren Wasteland,Bijan Robinson,116,drafted,Drafted for $116
Warren Wasteland,Saquon Barkley,117,trade,Traded; $117 salary carries over
Warren Wasteland,Dalton Kincaid,2,trade,Traded; $2 salary carries over
Warren Wasteland,Jaylen Warren,7,drafted,Drafted for $7
Warren Wasteland,Jaylen Waddle,43,drafted,Kept for $43
Warren Wasteland,Josh Downs,0,waivers,Waivers; $0 bid
Warren Wasteland,Christian Kirk,0,waivers,Waivers; $0 bid
Warren Wasteland,Dontayvion Wicks,0,waivers,Waivers; $0 bid
Warren Wasteland,Jahan Dotson,0,waivers,Waivers; $0 bid
Warren Wasteland,Marquise Brown,0,waivers,Waivers; $0 bid
Warren Wasteland,Demario Douglas,0,waivers,Waivers; $0 bid
Warren Wasteland,Atlanta,0,waivers,Waivers; $0 bid
Ridley’s Believe it or Not,Matthew Stafford,1,waivers,Waivers; $1 bid
Ridley’s Believe it or Not,CeeDee Lamb,39,drafted,Kept for $39
Ridley’s Believe it or Not,Tyreek Hill,82,trade,Traded; $82 salary carries over
Ridley’s Believe it or Not,Calvin Ridley,6,drafted,Kept for $6
Ridley’s Believe it or Not,Kyren Williams,4,waivers,Waivers; $4 bid
Ridley’s Believe it or Not,Jerome Ford,1,drafted,Drafted for $1
Ridley’s Believe it or Not,Sam LaPorta,2,drafted,Drafted for $2
Ridley’s Believe it or Not,Brian Robinson Jr.,22,drafted,Kept for $22
Ridley’s Believe it or Not,Noah Brown,0,waivers,Waivers; $0 bid
Ridley’s Believe it or Not,Adam Thielen,0,trade,Traded; $0 salary carries over
Ridley’s Believe it or Not,Justin Fields,11,trade,Traded; $11 salary carries over
Ridley’s Believe it or Not,Trevor Lawrence,57,drafted,Drafted for $57
Ridley’s Believe it or Not,Joe Burrow,1,waivers,Waivers; $1 bid
Ridley’s Believe it or Not,T.J. Hockenson,4,waivers,Waivers; $4 bid
Ridley’s Believe it or Not,Younghoe Koo,0,waivers,Waivers; $0 bid
Ridley’s Believe it or Not,Jacksonville,1,waivers,Waivers; $1 bid
philipRiversToTheSeahawks,Jordan Love,0,waivers,Waivers; $0 bid
philipRiversToTheSeahawks,Jaxon Smith-Njigba,38,drafted,Drafted for $38
philipRiversToTheSeahawks,Ja'Marr Chase,31,drafted,Kept for $31
philipRiversToTheSeahawks,Jordan Addison,34,drafted,Drafted for $34
philipRiversToTheSeahawks,Austin Ekeler,42,drafted,Kept for $42
philipRiversToTheSeahawks,David Montgomery,41,drafted,Drafted for $41
philipRiversToTheSeahawks,Travis Kelce,99,drafted,Drafted for $99
philipRiversToTheSeahawks,Dameon Pierce,65,drafted,Drafted for $65
philipRiversToTheSeahawks,Romeo Doubs,3,drafted,Drafted for $3
philipRiversToTheSeahawks,Quentin Johnston,0,freeagents,Waivers; free agent
philipRiversToTheSeahawks,Keenan Allen,10,drafted,Kept for $10
philipRiversToTheSeahawks,Jake Ferguson,0,freeagents,Waivers; free agent
philipRiversToTheSeahawks,Isaiah Spiller,0,freeagents,Waivers; free agent
philipRiversToTheSeahawks,Treylon Burks,0,freeagents,Waivers; free agent
philipRiversToTheSeahawks,Jamaal Williams,0,freeagents,Waivers; free agent
philipRiversToTheSeahawks,Jake Moody,0,waivers,Waivers; $0 bid
G,Lamar Jackson,30,drafted,Kept for $30
G,Brandon Aiyuk,45,drafted,Drafted for $45
G,Justin Jefferson,25,drafted,Kept for $25
G,Michael Pittman Jr.,44,drafted,Drafted for $44
G,Najee Harris,100,drafted,Drafted for $100
G,Chase Brown,2,waivers,Waivers; $2 bid
G,Dallas Goedert,26,drafted,Drafted for $26
G,Zay Flowers,23,drafted,Drafted for $23
G,Alec Pierce,0,freeagents,Waivers; free agent
G,Keaton Mitchell,3,waivers,Waivers; $3 bid
G,Tyler Boyd,0,freeagents,Waivers; free agent
G,Tyjae Spears,6,drafted,Drafted for $6
G,AJ Dillon,0,freeagents,Waivers; free agent
G,Trey Palmer,0,freeagents,Waivers; free agent
G,Jason Myers,0,freeagents,Waivers; free agent
G,Indianapolis,0,freeagents,Waivers; free agent
Nags,Dak Prescott,0,waivers,Waivers; $0 bid
Nags,DeAndre Hopkins,32,drafted,Drafted for $32
Nags,Deebo Samuel,25,drafted,Kept for $25
Nags,Davante Adams,120,drafted,Drafted for $120
Nags,Javonte Williams,45,drafted,Drafted for $45
Nags,Chuba Hubbard,0,waivers,Waivers; $0 bid
Nags,David Njoku,0,waivers,Waivers; $0 bid
Nags,Zamir White,0,waivers,Waivers; $0 bid
Nags,Odell Beckham Jr.,0,freeagents,Waivers; free agent
Nags,Alexander Mattison,22,drafted,Kept for $22
Nags,Kareem Hunt,0,waivers,Waivers; $0 bid
Nags,Curtis Samuel,0,waivers,Waivers; $0 bid
Nags,Nick Chubb,48,drafted,Kept for $48
Nags,J.K. Dobbins,0,waivers,Waivers; $0 bid
Nags,Tyler Bass,0,waivers,Waivers; $0 bid
Nags,Kansas City,0,waivers,Waivers; $0 bid
Bakeshow,Baker Mayfield,0,waivers,Waivers; $0 bid
Bakeshow,Puka Nacua,4,drafted,Drafted for $4
Bakeshow,Stefon Diggs,119,drafted,Drafted for $119
Bakeshow,Chris Godwin,30,drafted,Kept for $30
Bakeshow,Joe Mixon,84,drafted,Drafted for $84
Bakeshow,Antonio Gibson,0,waivers,Waivers; $0 bid
Bakeshow,Cole Kmet,0,freeagents,Waivers; free agent
Bakeshow,Gus Edwards,0,waivers,Waivers; $0 bid
Bakeshow,Pat Freiermuth,3,waivers,Waivers; $3 bid
Bakeshow,Brandin Cooks,20,drafted,Drafted for $20
Bakeshow,Justin Herbert,43,drafted,Drafted for $43
Bakeshow,Tyler Allgeier,5,drafted,Kept for $5
Bakeshow,Khalil Herbert,10,drafted,Kept for $10
Bakeshow,Evan McPherson,1,drafted,Drafted for $1
Bakeshow,Dallas,5,drafted,Drafted for $5
Bakeshow,Detroit,0,waivers,Waivers; $0 bid
Gimme that Kupp,Josh Allen,67,drafted,Drafted for $67
Gimme that Kupp,Cooper Kupp,50,drafted,Kept for $50
Gimme that Kupp,Terry McLaurin,33,drafted,Drafted for $33
Gimme that Kupp,George Pickens,34,drafted,Drafted for $34
Gimme that Kupp,Breece Hall,25,drafted,Kept for $25
Gimme that Kupp,Ezekiel Elliott,0,freeagents,Waivers; free agent
Gimme that Kupp,George Kittle,52,drafted,Drafted for $52
Gimme that Kupp,Alvin Kamara,42,drafted,Drafted for $42
Gimme that Kupp,Josh Jacobs,33,drafted,Kept for $33
Gimme that Kupp,Gabe Davis,20,drafted,Drafted for $20
Gimme that Kupp,Darren Waller,0,waivers,Waivers; $0 bid
Gimme that Kupp,Tua Tagovailoa,0,waivers,Waivers; $0 bid
Gimme that Kupp,Clyde Edwards-Helaire,0,waivers,Waivers; $0 bid
Gimme that Kupp,DJ Chark Jr.,0,freeagents,Waivers; free agent
Gimme that Kupp,Justin Tucker,6,drafted,Drafted for $6
Gimme that Kupp,Baltimore,0,waivers,Waivers; $0 bid
BUTTMAN,Derek Carr,0,waivers,Waivers; $0 bid
BUTTMAN,DK Metcalf,103,drafted,Drafted for $103
BUTTMAN,DJ Moore,83,drafted,Drafted for $83
BUTTMAN,Demarcus Robinson,0,waivers,Waivers; $0 bid
BUTTMAN,Christian McCaffrey,77,drafted,Kept for $77
BUTTMAN,Derrick Henry,76,drafted,Kept for $76
BUTTMAN,Trey McBride,1,trade,Traded; $1 salary carries over
BUTTMAN,K.J. Osborn,0,freeagents,Waivers; free agent
BUTTMAN,Taysom Hill,0,waivers,Waivers; $0 bid
BUTTMAN,Raheem Mostert,7,drafted,Drafted for $7
BUTTMAN,Michael Wilson,0,waivers,Waivers; $0 bid
BUTTMAN,Zay Jones,0,freeagents,Waivers; free agent
BUTTMAN,Jeff Wilson Jr.,0,freeagents,Waivers; free agent
BUTTMAN,Brandon Johnson,0,freeagents,Waivers; free agent
BUTTMAN,Harrison Butker,0,waivers,Waivers; $0 bid
BUTTMAN,Buffalo,0,waivers,Waivers; $0 bid
🤕,Jalen Hurts,64,drafted,Drafted for $64
🤕,Garrett Wilson,6,drafted,Kept for $6
🤕,Diontae Johnson,38,drafted,Drafted for $38
🤕,Darius Slayton,0,freeagents,Waivers; free agent
🤕,Rachaad White,39,drafted,Drafted for $39
🤕,James Cook,5,drafted,Kept for $5
🤕,Gerald Everett,0,waivers,Waivers; $0 bid
🤕,De'Von Achane,21,drafted,Drafted for $21
🤕,Amari Cooper,30,drafted,Kept for $30
🤕,Devin Singletary,3,waivers,Waivers; $3 bid
🤕,Roschon Johnson,1,waivers,Waivers; $1 bid
🤕,Zach Charbonnet,1,waivers,Waivers; $1 bid
🤕,Jaleel McLaughlin,0,freeagents,Waivers; free agent
🤕,Isiah Pacheco,5,waivers,Waivers; $5 bid
🤕,Ka'imi Fairbairn,0,freeagents,Waivers; free agent
🤕,Cleveland,1,waivers,Waivers; $1 bid
Judge Jeudy,Kyler Murray,0,freeagents,Waivers; free agent
Judge Jeudy,Amon-Ra St. Brown,116,drafted,Drafted for $116
Judge Jeudy,A.J. Brown,32,drafted,Kept for $32
Judge Jeudy,Jerry Jeudy,60,drafted,Drafted for $60
Judge Jeudy,Jonathan Taylor,54,drafted,Drafted for $54
Judge Jeudy,Kenneth Walker III,25,drafted,Kept for $25
Judge Jeudy,Dalton Schultz,0,waivers,Waivers; $0 bid
Judge Jeudy,D'Andre Swift,38,drafted,Drafted for $38
Judge Jeudy,Courtland Sutton,20,drafted,Drafted for $20
Judge Jeudy,Zack Moss,0,freeagents,Waivers; free agent
Judge Jeudy,Christian Watson,5,drafted,Kept for $5
Judge Jeudy,Mike Williams,0,waivers,Waivers; $0 bid
Judge Jeudy,Elijah Mitchell,0,freeagents,Waivers; free agent
Judge Jeudy,Anthony Richardson,0,waivers,Waivers; $0 bid
Judge Jeudy,Chase McLaughlin,0,waivers,Waivers; $0 bid
Judge Jeudy,Las Vegas,0,waivers,Waivers; $0 bid
Two Dickmases One Nagy,Patrick Mahomes,55,drafted,Drafted for $55
Two Dickmases One Nagy,Tyler Lockett,49,drafted,Drafted for $49
Two Dickmases One Nagy,Mike Evans,38,drafted,Drafted for $38
Two Dickmases One Nagy,Jayden Reed,0,trade,Traded; $0 salary carries over
Two Dickmases One Nagy,Tony Pollard,30,trade,Traded; $30 salary carries over
Two Dickmases One Nagy,Justice Hill,0,freeagents,Waivers; free agent
Two Dickmases One Nagy,Isaiah Likely,1,waivers,Waivers; $1 bid
Two Dickmases One Nagy,Aaron Jones,70,drafted,Drafted for $70
Two Dickmases One Nagy,D'Onta Foreman,0,freeagents,Waivers; free agent
Two Dickmases One Nagy,Rhamondre Stevenson,12,drafted,Kept for $12
Two Dickmases One Nagy,Kyle Pitts,0,waivers,Waivers; $0 bid
Two Dickmases One Nagy,Tank Dell,5,waivers,Waivers; $5 bid
Two Dickmases One Nagy,Rico Dowdle,0,waivers,Waivers; $0 bid
Two Dickmases One Nagy,Mark Andrews,3,waivers,Waivers; $3 bid
Two Dickmases One Nagy,Brandon Aubrey,0,freeagents,Waivers; free agent
Two Dickmases One Nagy,Chicago,0,waivers,Waivers; $0 bid
