,pick,player_name,player_position,player_team,salary,manager,keeper_code
0,6,Josh Jacobs,RB,LV,68,Chi Shing,
1,185,Joe Mixon,RB,Cin,63,Chi Shing,CD
2,184,Hunter Henry,TE,LAC,21,Chi Shing,D
3,65,CeeDee Lamb,WR,Dal,18,Chi Shing,
4,115,Ty Johnson,NYJ,NYJ,16,Chi Shing,
5,187,Patrick Mahomes,QB,KC,15,Chi Shing,CD
6,9,Sterling Shepard,NYG,NYG,13,Chi Shing,
7,22,Tim Patrick,Den,Den,9,Chi Shing,
8,87,Frank Gore,NYJ,NYJ,5,Chi Shing,
9,110,Tampa Bay,TB,TB,4,Chi Shing,
10,128,Robby Anderson,WR,Car,1,Chi Shing,
11,56,Antonio Brown,TB,TB,0,Chi Shing,
12,79,T.Y. Hilton,Ind,Ind,0,Chi Shing,
13,100,Tyler Bass,Buf,Buf,0,Chi Shing,
14,119,Devontae Booker,LV,LV,0,Chi Shing,
15,186,Demarcus Robinson,KC,KC,0,Chi Shing,
16,174,Davante Adams,WR,GB,47,Dai,ABCD
17,29,Keenan Allen,WR,LAC,39,Dai,
18,173,Miles Sanders,RB,Phi,34,Dai,D
19,175,DJ Moore,WR,Car,17,Dai,CD
20,82,Zack Moss,RB,Buf,11,Dai,
21,172,Raheem Mostert,RB,SF,10,Dai,D
22,59,Eric Ebron,Pit,Pit,8,Dai,
23,66,Kirk Cousins,Min,Min,5,Dai,
24,27,Rob Gronkowski,TB,TB,4,Dai,
25,83,Indianapolis,Ind,Ind,2,Dai,
26,34,Le'Veon Bell,KC,KC,0,Dai,
27,35,Cole Kmet,Chi,Chi,0,Dai,
28,68,Rashaad Penny,Sea,Sea,0,Dai,
29,75,Zach Ertz,Phi,Phi,0,Dai,
30,76,Marvin Jones Jr.,Det,Det,0,Dai,
31,84,Los Angeles,LAR,LAR,0,Dai,
32,113,Saquon Barkley,NYG,NYG,72,Doug,
33,11,Todd Gurley II,RB,Atl,53,Doug,
34,98,Brandin Cooks,Hou,Hou,13,Doug,
35,88,Deebo Samuel,WR,SF,10,Doug,
36,179,Lamar Jackson,QB,Bal,10,Doug,D
37,177,Seattle,Sea,Sea,5,Doug,
38,135,Jakobi Meyers,NE,NE,4,Doug,
39,62,J.K. Dobbins,Bal,Bal,3,Doug,
