JamoSZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Dak Prescott           | QB    | 24.64 | 25.64 | Waivers; free agent 
DeAndre Hopkins        | WR    | 13.60 |  0.61 | Drafted for $23     
Chris Olave            | WR    | 18.70 |  1.16 | Drafted for $16     
Stefon Diggs           | WR    | 12.80 |  0.14 | Drafted for $100    
Aaron Jones            | RB    | 11.00 |  0.29 | Kept for $40        
Jonathan Taylor        | RB    | 14.90 |  0.22 | Kept for $71        
George Kittle          | TE    | 22.40 |  0.50 | Traded; $46 salar...
Jaylen Warren          | W/R/T |  1.40 |  2.40 | Waivers; free agent 
Travis Etienne Jr.     | BN    |  0.00 |  0.17 | Kept for $5         
Trevor Lawrence        | BN    |  0.00 |  1.00 | Waivers; $0 bid     
Drake London           | BN    |  6.70 |  0.23 | Drafted for $32     
Jameson Williams       | BN    |  0.00 |  1.00 | Waivers; free agent 
Melvin Gordon III      | BN    |  9.50 | 10.50 | Waivers; $0 bid     
Tyquan Thornton        | BN    |  1.00 |  2.00 | Waivers; $0 bid     
Jake Elliott           | K     |  5.00 |  6.00 | Waivers; free agent 
Washington             | DEF   | 19.00 | 20.00 | Waivers; $0 bid     


Aiyuken
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Aaron Rodgers          | QB    | 23.08 | 12.04 | Waivers; $1 bid     
Tee Higgins            | WR    | 19.30 |  0.34 | Drafted for $59     
DeVonta Smith          | WR    | 10.80 |  0.62 | Drafted for $18     
Deebo Samuel           | WR    | 18.90 |  1.05 | Kept for $18        
Tony Pollard           | RB    | 33.90 |  1.34 | Drafted for $25     
Jamaal Williams        | RB    | 24.40 |  2.54 | Traded; $9 salary...
Pat Freiermuth         | TE    | 11.90 |  2.15 | Drafted for $5      
Isiah Pacheco          | W/R/T | 10.70 |  5.85 | Waivers; $1 bid     
Brandon Aiyuk          | BN    | 15.00 |  0.47 | Drafted for $33     
D'Andre Swift          | BN    | 10.70 |  0.24 | Kept for $48        
Nico Collins           | BN    |  7.30 |  8.30 | Waivers; $0 bid     
Leonard Fournette      | BN    |  0.00 |  0.17 | Kept for $5         
Jaylen Waddle          | BN    |  0.00 |  0.03 | Drafted for $38     
Michael Carter         | BN    |  2.20 |  0.32 | Drafted for $9      
Daniel Carlson         | K     | 14.00 |  1.67 | Waivers; $8 bid     
Los Angeles            | DEF   |  4.00 |  5.00 | Waivers; free agent 


Ceedeez Nutz
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
-----------------------|-------|-------|-------|---------------------
Justin Herbert         | QB    | 24.20 |  1.94 | Traded; $12 salar...
Joshua Palmer          | WR    | 26.60 | 27.60 | Waivers; free agent 
CeeDee Lamb            | WR    |  7.00 |  0.26 | Kept for $30        
Mack Hollins           | WR    |  8.20 |  4.60 | Waivers; $1 bid     
