,pick,player_name,player_position,player_team,salary,manager,keeper_code,keeper_years,2022_cost
0,96,Darrell Henderson Jr.,RB,LAR,0,Chi Shing,,0,5
1,132,David Njoku,TE,Cle,0,Chi Shing,,0,5
2,145,Matt Gay,K,LAR,0,Chi Shing,,0,5
3,157,Marlon Mack,RB,Ind,0,Chi Shing,,0,5
4,129,Christian Kirk,WR,Ari,8,Chi Shing,,0,13
5,126,DeVonta Smith,WR,Phi,12,Chi Shing,,0,17
6,71,Melvin Gordon III,RB,Den,21,Chi Shing,,0,26
7,10,CeeDee Lamb,WR,DAL,23,Chi Shing,E,1,30
8,11,Patrick Mahomes,QB,KC,24,Chi Shing,CDE,3,35
9,91,Tyler Higbee,TE,LAR,25,Chi Shing,,0,30
10,82,Kareem Hunt,RB,Cle,32,Chi Shing,,0,37
11,65,Chris Godwin,WR,TB,57,Chi Shing,,0,62
12,9,Joe Mixon,RB,CIN,72,Chi Shing,CDE,3,83
13,136,Robert Woods,WR,LAR,12,Chi Shing,,0,17
14,86,Evan Engram,TE,NYG,2,Chi Shing,,0,7
15,46,D'Onta Foreman,RB,Ten,9,Chi Shing,,0,14
16,8,DeVante Parker,WR,Mia,0,Dai,,0,5
17,119,Khalil Herbert,RB,Chi,0,Dai,,0,5
18,127,Ke'Shawn Vaughn,RB,TB,0,Dai,,0,5
19,138,Kadarius Toney,WR,NYG,0,Dai,,0,5
20,139,Rashaad Penny,RB,Sea,0,Dai,,0,5
21,169,Rashod Bateman,WR,Bal,0,Dai,,0,5
22,170,Derrick Gore,RB,KC,0,Dai,,0,5
23,182,JuJu Smith-Schuster,WR,Pit,0,Dai,,0,5
24,162,Michael Carter,RB,NYJ,3,Dai,,0,8
25,40,Josh Allen,QB,Buf,23,Dai,E,1,30
26,7,DJ Moore,WR,Car,26,Dai,CDE,3,37
27,66,Kyle Pitts,TE,Atl,40,Dai,,0,45
28,5,Davante Adams,WR,GB,60,Dai,ABCDE,5,75
29,59,Najee Harris,RB,Pit,78,Dai,,0,83
30,125,Russell Gage,WR,Atl,2,Dai,,0,7
